adid,itemid,level
K3MCT,4524R,platinum
JAON9,9UNIZ,gold
347GF,B3LMA,other
LJMY9,SGHG5,platinum
33YWY,6YKGA,gold
DUFGU,1XH12,silver
LEXC1,PDRNO,platinum
WQ9L6,AO8EP,platinum
OO9M2,4YSHS,platinum
0BH8E,X5XQZ,silver
J3S2A,3EF7R,gold
NFCDG,263OE,gold
3E2QG,ZJJC7,silver
IXYCA,PI13O,silver
FTT71,OWLD8,other
106SR,TAIMK,silver
ATMUV,PLHBC,other
MOL09,6LLPT,silver
7BOX0,AV6BW,platinum
LI6MR,L5WSL,other
51MFD,64DAB,silver
A4ZSP,ZBFFJ,other
KOX9L,HZGY3,gold
U98VY,81FOL,other
3XBFE,5EAR8,other
RM749,6UY6K,other
S7N1E,LIA4Z,platinum
ZUM3J,43EP8,gold
M8N3O,7UPJJ,platinum
1FOL3,JYL09,gold
DPW30,KXIUV,other
T425M,M3NXI,silver
8KNLR,3WX3K,gold
419G0,5NSQM,silver
ZDBQ6,8OS5F,silver
T3WV9,VWT7P,other
ZFLJP,NR2NQ,gold
7TPE4,5JK7S,other
SKB58,W49RC,gold
TO4XZ,6GQ39,silver
CAXHL,FX406,silver
QC00A,98C0U,gold
Z7DWO,AFHJG,silver
7ISAX,SS80T,silver
3LHR7,LVD0D,platinum
4TBH9,THU86,platinum
0DYWE,EV1F3,silver
97WJZ,M7K4P,other
B3Q4P,88DDP,silver
86J19,YDLOR,platinum
0MXUS,SHO6W,other
9P1UD,WSF9A,platinum
0E5TL,6OD70,gold
CFAIE,0TX2A,other
SJR55,GV5IY,other
WVW6K,DE63D,other
64U4E,1ZAYY,gold
EWRKM,N30O4,other
Y8AMU,M99NP,platinum
DFZ7C,KC47K,silver
KFS92,4V8US,gold
GKANT,6Z0GW,gold
KWPCZ,1ZQ4B,other
Y77GD,I3H6T,other
FWO1R,ORIBA,gold
IYN2J,9HWOZ,silver
CBEO6,31CW1,gold
DVGVR,4TGBC,silver
B9QV6,NQRUI,silver
G3YJ7,N108C,silver
5ZNKV,HC70C,other
FLPUO,Q750C,gold
H6GAU,3LHR7,other
JK5HV,46NUM,gold
O6DCL,9QS6T,gold
5KKGI,56GWG,gold
BSTNM,WIWT3,gold
FH0EK,M2VYM,platinum
9EPJL,4B0UN,silver
WMBU1,PHL3A,silver
32YEF,DH3NX,platinum
HPD7H,OPKGH,gold
GW4Y4,0HRXO,platinum
CZ2NT,G7EAL,other
63XCY,02A3A,platinum
R6KY1,4S16J,silver
GSRO0,GV9QF,silver
34P5L,ZBVGA,other
3VJ8H,LIGLT,silver
RKVP2,T270N,other
QGSVB,DN7KL,gold
B4VDZ,QANFW,gold
EFSVD,VGWCE,silver
8DUPY,MV9P9,platinum
98DRE,141IG,silver
E3PVP,0IXUU,other
ZRHU3,XSH6I,silver
9PB1Q,5RWR4,other
QP4AR,8IV2X,silver
LUJ0U,OR6CA,platinum
504DR,99OKS,platinum
TKTI7,YMYJO,platinum
A9APC,0DVG0,other
C016N,KBEZ2,gold
2PRBV,TYQPS,silver
PV5LF,5OTOB,gold
T6N32,AZCO1,platinum
TLH02,W3PVO,other
HTIEM,COYUL,silver
CQI2M,FS1M8,platinum
UM5TZ,A55V3,other
FDQA2,9BC05,platinum
3PXT5,R1LFM,platinum
FDCVN,DHZYT,gold
05DFA,LMM8X,silver
XFGVW,86BEC,gold
NP1JC,X26SO,silver
2F16B,QXKB3,other
LOUCX,8KXXU,gold
89X6Q,50QB5,gold
39QES,45C63,gold
3AE1K,W8MC2,gold
V349Q,I4AI8,platinum
CIXEW,7GDY3,platinum
TLGUK,IST2L,platinum
JQ3S3,L7WGV,other
0ZMFF,SS46Z,platinum
BYQPU,H7MWL,other
AUVNB,3C0M7,other
BB7NN,9E0GT,gold
Y4SDH,QHF08,other
CKH77,GPBCG,other
CYWWY,WPR7E,silver
P4PS8,JEQAF,other
THPLZ,3N5AI,gold
SNHG0,6216P,gold
L4RVV,QA9T9,other
UJ6VL,NZJDU,gold
4SGJZ,4B52S,platinum
7IAK6,P3CPN,silver
8YZ8T,3TSXM,other
3U4ON,ZH4NE,platinum
6AXOR,J1LPC,platinum
YKJ0X,JM9V9,other
1MLSY,JGZMO,other
82LVY,8JODX,other
XA982,7ZCBS,silver
WRFFI,N7TIV,silver
RVIZL,EFZ7K,gold
K3PFW,JJPIH,platinum
M4YDB,OD5ZM,gold
CL397,DBJGY,other
LOJRU,GI1FG,platinum
KGAOR,5RWR4,platinum
0KRSQ,YXWCH,silver
C65GB,YOTGZ,silver
H2C8X,JCYTW,platinum
K5JAM,IYBNO,platinum
N0IW9,XII4V,gold
13EHH,PWGBB,gold
C2PR5,L9DQX,platinum
LH14Y,CHMD9,other
H0SQD,8GCEL,platinum
SU2R2,XV9E8,gold
SFRD6,MAO7O,platinum
AY2NX,QW5S3,silver
BEXD5,QPTSS,other
BEGV7,WLABD,gold
ZWROA,RULC6,other
AXDE0,H2FXX,gold
7LK22,IC674,platinum
E4WQ1,THOFT,other
4U59C,9U4Q8,silver
7X2H8,U43QW,platinum
6GO7Z,EKP5V,silver
UGN5G,74H9D,silver
PHVYP,4TEZZ,other
AWAY8,16FEH,gold
KPBNH,KXLWS,gold
VTFYL,HIBFV,gold
P0VUS,VXJFN,platinum
YH9T4,9LBL7,gold
LU8J6,XG1PB,platinum
5KX7P,D5XEQ,silver
FXVI7,7R4RD,silver
VYMF0,QSS2X,silver
0LDNC,FV59O,platinum
D7WXC,4WM8Y,platinum
6RA4U,S0U6R,platinum
WB64A,VR6OW,silver
NKBLT,A3YY2,silver
L03FZ,KF1M5,platinum
9OUY7,STEUB,platinum
SX3H7,MJDP9,silver
QWNUB,3S4UT,other
W6NKU,GSHVM,other
5VMBD,OQH2R,platinum
YZHGL,3WX3K,silver
KEAY1,OXGE5,platinum
X8AEA,G0ZMH,platinum
G30NN,ME6NS,other
D9LRC,79CF6,gold
3V57S,N53AK,gold
R2XN3,TGZGW,other
F6LAF,2RZAQ,gold
6N9LU,TSC1W,gold
PFVZI,SMIJI,silver
SXABC,HB6HJ,gold
9PGKK,045RD,platinum
4YYJN,X0MBW,silver
F6HLG,DTR93,other
A05K3,4FY20,silver
KEF2V,TGCQG,silver
PPW1D,327KM,other
FK01L,07OKK,other
KGJ1R,AUYX3,gold
546GB,TLFZ2,other
LPZ2O,NT5YH,platinum
ZSUI3,5FTBL,platinum
L9ME8,JGZMO,platinum
5TOIR,DSFUG,other
QY4GF,BU5J7,gold
W9VD1,71TIS,platinum
MABPD,A6E9B,other
YOMBI,60CQW,gold
ZS7EB,SVHQ9,gold
SPJ7U,RYRLP,platinum
IOOVT,Z9TT1,silver
H9YAG,1ICFS,silver
NYKMR,0GJJA,silver
RROV6,6ZAVC,silver
E2BO3,XG7KV,platinum
KX93L,RF400,gold
5S8LR,SUU2G,platinum
M26CC,53UTA,silver
RYZMH,3ZNRZ,gold
KG6E5,9RUBB,other
FRIT8,H6NR8,gold
REKP4,JSDNR,platinum
WBV2O,MKVQ4,other
B9PDP,BWNP9,other
3MNXT,BG6J1,other
2AA6O,VOXMZ,other
AK8DK,MP7WL,silver
E0917,DSQOM,other
E5OJD,5N1UB,silver
FYDZC,OZ28R,other
E1CBQ,PSECM,gold
Z0CGK,S139L,other
E3CZX,GB2DV,gold
MJOR6,BJOXQ,gold
ADUBB,BYVVF,other
HHOOC,PACJ0,gold
UDZST,54GO4,other
BMK8A,3NAUX,other
7UYYB,QIYWU,gold
0ANJC,PMWNT,silver
6ROML,QMGD0,other
WC66J,J5IXK,gold
KIIZ7,U6W9R,other
0LIU0,O2G6U,gold
KHDK0,D9CCM,other
Z54OG,7RGPH,gold
KZYM3,0AX8A,silver
N7DYY,TZKS4,other
U9GY6,3WSNL,gold
JFE1C,SC9P7,platinum
BINSD,VG9L3,silver
SKG2H,GUQ28,platinum
G4XY7,P3RNI,gold
IGGWS,SR7NS,other
QYOYM,TI3XK,gold
GXOM9,SRGUH,platinum
QE9NC,OFNJQ,other
0CCZL,4JYAU,gold
ZPUZ5,DHW8F,silver
974M1,YZFWK,silver
OBRDP,SWX4P,gold
AWABG,YZVS6,other
RRMA6,4RFEL,gold
1LZ2R,FRLAG,gold
YLA7I,LMI12,other
S7RUH,S519U,other
34RQW,G6XY1,silver
W5T6R,W2VY6,platinum
JEQ6H,UY1XI,platinum
N1RRV,EKSU4,other
M66LN,POEEF,silver
DG9B3,IJF4T,silver
3ISTZ,IIPUM,gold
2F3L6,NZW1Q,other
DWU57,67D42,silver
8Q6IU,D1QIO,other
6QKOQ,91PWF,other
48FU8,K3Z3M,platinum
AM9HB,3FESP,silver
94EDJ,TMNI9,other
L0VHV,U50XY,silver
AT4ZQ,KSLDQ,other
FQXDS,VTVGH,gold
8AOOO,76LAT,silver
0CZDU,1FHXR,other
IDIVW,XK5JB,gold
66G6G,CEYPE,platinum
PJ7Y0,IX6E4,platinum
VSR59,KHM5C,gold
WKK1K,SVHQ9,platinum
EVUZT,GQDHJ,platinum
QYBF8,R6UNP,gold
ZI6S0,2BG52,gold
KULV4,QSNPB,other
FFKHG,W721P,gold
ZGGH6,CTCOZ,silver
6LVX9,RUZMY,silver
GAV89,S4QF4,platinum
5GHQS,SNMT1,silver
VBMMK,2A0CU,platinum
VFQ4V,KY86H,platinum
LULKP,C8LVX,platinum
J1ID3,D7O6L,platinum
9YIN9,LTJXN,other
83UNI,1I880,platinum
ERU2W,2X4ZK,silver
GDHPF,5GL41,gold
4XVPF,H3EBW,other
O3NAK,OW0EP,platinum
BM6TL,17TPD,silver
2M9OX,BMX1A,gold
SFESG,35W0D,silver
AB3D4,147HH,gold
9QIUN,AQ5BN,gold
ENQ9T,HFNN6,platinum
8J8K3,6FME6,platinum
0HADM,CV467,silver
C4DMZ,MC5WH,other
F8QCB,99RH5,other
AFI9V,HHK85,platinum
N4EXA,OKSCF,other
23MYO,XNZMA,platinum
HKRCF,A6GK8,platinum
B4M9T,I4C95,other
4T8OZ,RCBHZ,gold
C047B,NBW4Z,silver
O5X0G,KXJIW,gold
K8ZN7,PKR80,platinum
93F45,F416V,silver
A5QGI,8291J,platinum
E43ST,UM9XB,gold
YMCG9,KB771,platinum
POEEF,QIFKY,silver
8YRKF,R1HRI,other
6BANM,PSYCJ,silver
U4NHK,7J74H,platinum
MQHFE,16QOC,gold
MYMHH,TAIMK,gold
ZJGOW,HXX19,silver
8YBEL,NV7EC,other
25GUJ,KCQ1C,gold
6B5WP,ILIDG,gold
NWLW3,HINC2,other
PWELF,9BXR3,other
BUPUP,KKM8N,gold
R49SU,I7YGL,gold
C9MRR,YNSB8,silver
EMAVM,P4G1K,gold
1U5NF,TRTB1,platinum
9RI8N,ZN492,other
5R4I1,KGXWS,other
3CPJ6,L71JQ,other
Z7M6Z,8K2M9,platinum
VKAYK,L9V2I,platinum
R8FS9,W67S7,gold
43QY1,A0XZQ,platinum
O1NSD,JO3QD,gold
XIQKM,6QXTK,silver
V00RL,6DAUK,silver
EHWM5,4R41B,other
MVF9I,T352D,silver
3XACN,D2QH3,other
6NG23,0W9O3,platinum
O2SV3,ENDDF,gold
0HMGG,O0LXE,gold
0KD2B,IAMSY,other
W0UFZ,BMDTN,silver
4V56W,PUJOY,platinum
WRFUN,C0YJ7,platinum
67FRN,PGXKC,gold
D2TMO,ERP4W,silver
3M4G1,FBIMT,silver
SL6IR,NAIIX,silver
F8QE0,X731M,silver
FODFC,CWHEN,silver
321W1,DWP80,platinum
X1CPC,HIZRF,platinum
IINGM,NBJ49,other
NPEOG,I0QQ6,platinum
2CEXL,KE735,silver
19GZG,YTBJN,silver
HUX31,FR1HT,silver
QC36C,KC3FH,platinum
5V44Z,ZSBPW,platinum
3YSXK,W2O28,platinum
ODLRO,PGUTP,other
JCVK0,4OP9Q,platinum
QLQGD,VC80X,platinum
HLXUW,XXUZ0,gold
J4V9P,LQH77,other
0WZVL,ACFJ8,gold
MHMHN,SXPWS,gold
B8Q81,XFD5U,gold
5EG0A,4HAHJ,silver
3KHSM,ZIE9T,other
9EC91,SOYI8,other
OSEYJ,APZ6T,silver
T7KRV,1ZATN,platinum
KWMBY,AA20N,silver
Q0QAB,Z4HME,silver
K5SKW,O8DYQ,silver
FTHRV,HWFH1,platinum
4J6GL,BM3E7,platinum
BWOQ1,ZOXSK,silver
8KMKQ,ZRFPG,platinum
MX47G,9F8SV,platinum
KQVQ0,WNJEA,platinum
XVXF7,GY0E9,other
Z49CD,RQUO5,other
6RONZ,O771C,platinum
9WK7X,B95CA,platinum
ANAF8,MX2N2,gold
F2HV5,CHFWY,other
3U3ZL,TEN54,platinum
PKGG6,Q7TEU,gold
9A0R2,6ZJ2S,platinum
5MJ0V,LO3NA,silver
YOR2K,RLYAQ,other
KPS7M,91H0I,other
3BFAF,MNNYK,platinum
ANWHC,JUYN3,other
JHKFI,ZGMMZ,gold
SUHIR,0ULED,platinum
68WSV,1GNZT,other
3M8HA,NAOSI,platinum
VO9HI,JIZKG,silver
45M4U,S5N9W,gold
P2YN0,II750,gold
JWKHX,4JDUX,gold
UIUS6,CMPV7,platinum
S0A5A,5W9NE,silver
8IYZ1,W55QN,gold
ESAZF,UK78H,gold
8LJPY,L4PLD,silver
T0R04,UY1XI,platinum
6XRU8,UEXL6,other
422GJ,TQXJ6,silver
NOJ7Y,EGT3R,gold
05YG3,I4L8W,silver
F08SW,RB0V5,gold
B4PU2,QCGTB,silver
21H87,J4IVC,platinum
IU1CP,11WU4,other
YOO6B,4IOM2,other
ZM2B5,HZUHR,silver
5KWPI,LGNWF,other
56PJT,WG2TX,gold
UJXH0,0DRAB,gold
GX170,CWOBE,platinum
BRB90,8BUS8,platinum
RUBBU,AEW7U,other
DBO2I,UNNR2,gold
X9N5O,IWOX0,platinum
WC9F2,P5GRT,silver
1QSMK,TG498,silver
42P44,R912K,platinum
0SOTV,PDHIF,gold
S39KF,CEKOZ,other
4N2BL,D5A3B,other
9XW66,K0JY7,platinum
0OOS6,YJ2HT,gold
BAHYU,QEVFO,silver
QDIXQ,7JZB1,platinum
MQT5B,O471G,other
MXHLC,1ND3Q,gold
ND59F,AKM2L,platinum
EKPXK,1Q1S6,silver
Q9MID,4N88L,platinum
8S9QL,BTLOI,gold
ZWD8I,KS4UU,silver
KIP1Z,DE5NM,gold
KEV4C,GAVEY,silver
Z1HSC,QW9NQ,platinum
52PH7,II56A,platinum
8PL63,2YNBM,other
9G0BB,RU8L8,gold
W0RNX,9E0GT,silver
MTBOK,0WZ23,platinum
4NPJE,WQKKO,silver
FJ5KJ,KNMHS,other
6FWZI,0YHDE,silver
ACRDB,Z2N7M,gold
RA58A,1781O,silver
7CBG0,IO7DH,platinum
VPF9R,BRC6O,platinum
GE8ZS,LR1CW,other
AZFS0,3ZUI3,platinum
XKLSI,PCTT5,silver
C4EYZ,LK62L,gold
69LA7,5980E,gold
6K1V5,ZART8,gold
A3FNT,T9D8D,platinum
LLUIU,CWVT6,platinum
JSME7,IPKWV,platinum
8GU78,1EIHU,silver
1RH32,V34JF,other
VVIZH,UQRBM,silver
5F1WB,KSJYC,gold
EH2QX,H9THU,silver
UQHHV,QZU3V,silver
CSR0J,0UQ1W,silver
78XBW,7XGNJ,other
QBPXV,G8W64,gold
5NA0Q,N6693,silver
P97FG,HKYKY,gold
46YCO,4TB3U,platinum
7LC9V,6UPG9,silver
V3A6S,Z85FL,other
7VXY8,VV7PT,other
2ES41,NH2J4,gold
1L57O,ZQCVT,gold
OZ384,D42NK,platinum
EYFQ7,FPS6O,other
4R9MC,JC2RH,other
73PZT,BGIZ9,platinum
EV30C,7P27B,other
MZW4R,AQ5XA,platinum
IEHW5,6CECR,silver
FN30C,Q6BRQ,platinum
RTR99,B1WSU,platinum
TDFWK,DBOWD,platinum
GT77J,ZG90B,other
6U2S6,GL6X6,silver
ETH5D,08QJP,platinum
LLC6R,QJ9A3,gold
E3OWZ,1R9PB,other
I5OF7,JRI1D,other
MP7MW,L6OFL,platinum
72TC8,TLO0G,gold
4JAOY,VGVF8,other
BELCK,BADTV,gold
QZGXF,CTRTQ,other
KUBCP,K6LLC,silver
VZGST,44W7D,gold
SPDE8,78ETI,silver
IJ6U4,91EHE,other
XI6N7,9SZGJ,platinum
80EDB,A4NV9,other
RIRXU,LR1CW,other
NBQTL,8ETS8,platinum
38XN1,4UBFY,silver
TPPRZ,QY4TX,other
Y0WXF,JK27P,silver
QJAK6,HXAHR,silver
1NWBN,B8LZY,gold
LYZ6L,F4D56,gold
NFYO2,OIUC2,silver
P68IX,2P0XK,other
N9R01,RWSC7,other
RZ365,RTM7H,other
2VZY5,7538U,platinum
MGWI1,8PPHV,platinum
6N8D1,MFORO,other
CBIZI,CSX6H,other
EAWIU,196SK,silver
NQCU8,KH4M7,silver
NJN3W,23NVZ,other
IJG9B,ANXVB,silver
QROX8,HCI0V,other
7X9VL,9FMBF,silver
JI12Z,BR51U,silver
995M1,897MX,platinum
ZHEWU,URS2V,other
XUCMB,N95A9,platinum
YU5MK,MJJGA,other
CEGBD,FUFUY,gold
R7ZGV,6PRYV,platinum
ND8K7,H3O1O,silver
RGUV6,SZXPO,gold
01X8C,A0D5X,other
FM0JP,7HH8R,other
WDX3G,6133T,platinum
JNWCA,IM0BT,platinum
DEZWR,OH4VG,gold
SOVHT,S519U,platinum
NG8O0,TWIK7,silver
IZUGD,DG8FT,gold
RY9K9,FF24X,platinum
65NI8,7KQD7,other
T739U,QBKZF,other
GCBVD,EGFV5,silver
T2ROV,0WE3H,silver
2QW6Y,276G6,silver
T1VFH,01FY0,platinum
YLABQ,0WAJU,other
4OYAQ,AH464,other
07FD3,UJR6J,platinum
OFLRE,AL5QS,gold
E1I0W,E40A3,gold
J6PK0,DZE3J,other
JB6GB,NXNWJ,platinum
0B1M7,8E6QR,platinum
A56O9,BTHO1,silver
4HF2N,T2WSE,other
ER4ZQ,A7JPZ,silver
3OOHF,LWUBS,other
M8RHL,7KRXT,gold
W0CSA,KN2AH,gold
R3CPF,W5MNX,platinum
4WNTZ,T9PYN,gold
5JEEF,CRV3E,silver
WO5FP,FHH8T,platinum
EOIS3,TCKYI,other
7S0TF,ZBW6V,platinum
3MT40,LZW2V,gold
0IU24,1RC7O,silver
FID1R,07ZA5,platinum
NO4YQ,UWQLE,gold
LUVKX,QX34P,other
RXSS8,E7MQ8,gold
DKR87,VBEFT,gold
RZBJD,1VH69,gold
THPMK,4AONS,silver
JT55H,U4BJK,gold
LJF7P,EKH68,other
OP9Q8,WJVRC,platinum
9QFV4,V2IK3,gold
2XZCW,PLLIM,platinum
JVQGM,P9UR8,other
07WMM,C2IKT,other
T6L7A,XE13R,other
OVGTK,LQMYQ,other
IEH2P,B1Q3X,gold
BSEGF,A3YW7,other
KXTMJ,IP4GF,platinum
PNHKI,EYVQW,gold
9TLBJ,HKOCU,gold
6WTV8,YG3TD,other
87EAN,6PRY2,other
I941Q,F0SSV,platinum
LD9JE,VXHPA,gold
UTNLM,R66RN,other
ZHX7Z,ZA0MC,silver
KMJ7I,V7T2S,platinum
UIMSD,DF2W8,platinum
U3CRY,GMTTO,other
1YT0A,DTR93,platinum
OE6FD,CCJ7U,gold
PIWSP,UGITQ,silver
3YE69,FQT9S,other
M4RH1,L0AT8,gold
6232X,L04GR,platinum
RY4BY,2CFL5,other
NB1C5,H8HT2,other
XB5P6,CI2F8,gold
X89PH,IZ0VC,other
916GA,ZK93L,silver
RJVHK,UTTOV,other
NT5X9,9YUQZ,gold
LAYA5,VNJMH,silver
CRJ0J,3VUOS,gold
TUD6N,RSOS8,platinum
XMYF1,TPTJW,gold
H9LIJ,XVTB4,other
1YWN5,3W5TH,platinum
LR7IP,UFN5R,silver
8QSJJ,A7B86,gold
PHNER,21M2J,silver
R851O,XR5EO,other
EHKSC,9OHXY,silver
DMBK7,CT20Q,gold
WIXET,PT4H8,platinum
ZH68R,KVYZZ,other
N8Q0L,YEY2U,platinum
JIHFA,9TMLV,platinum
2UGXM,HRNR4,platinum
20NC3,AWZRZ,silver
5DZ0I,92TFM,platinum
DK2J5,R9LWL,other
225RT,NYG9R,gold
98JZ8,1I880,gold
ERI7I,01BO0,other
NTM2T,YZFWK,platinum
5PHGI,3KMKD,silver
7BKQJ,CFGAT,gold
UHS04,AD3QH,silver
14IFY,2FDCS,platinum
XTRXM,1YXFT,platinum
L5DHY,EC3J7,other
GMGQI,A02AM,other
K7LIP,I7MY5,other
QKOOC,L30RH,other
RUM7Y,LFTY5,gold
OCYY1,5TFU5,gold
2B3BB,NG4P9,gold
FRJ8T,N3YCL,gold
ZDIUY,82NM5,other
PDRNO,N6Y1Y,other
O94QN,9KEDJ,platinum
231KS,P7GNH,silver
664HG,6BI4A,platinum
VF8XI,KMFU9,silver
YY4CF,VHKRC,platinum
5G69J,LYA5C,other
E6NH6,MROUD,gold
T4VAS,OJ4UC,silver
PY995,3MN61,other
ATR5X,H7CXM,platinum
4RCF1,1NR0D,other
1RRR7,FO07R,gold
QFKLL,6DMN1,silver
760VP,VNVCW,silver
0WGDZ,YR9IC,platinum
RDLZT,4ROWG,platinum
E9NCC,L6KPB,gold
Z2755,3HTC7,other
231N7,QA2OK,other
YRDQF,1W580,silver
R1INR,U9K5D,other
0S665,RLD53,silver
NVFB5,8XQM0,gold
75TQK,WD6W4,platinum
DUYQ9,A8E1X,platinum
GLF69,U9LH3,other
J4OCS,43WSS,gold
6WHOE,J4PNO,other
VOB0U,7DWR4,platinum
5X2YO,GIJNW,platinum
N3ENH,L4HGB,platinum
TR7MN,O138G,platinum
20GLH,MT6Z2,gold
6CXF6,1L4VF,other
ZFKY4,65J4R,platinum
G8FKE,9AETY,gold
38YQ9,BOJ7L,other
QCH30,JSGI7,gold
J3XTH,TYOX3,silver
U5A4N,YC1AW,platinum
D1TOD,6JEDO,platinum
JUQ41,6S907,silver
FDB1G,05T1K,other
WKPKJ,IFEOM,gold
JPW44,MV8RY,platinum
0XNHR,OKA2Q,other
KGS3K,AIQJS,platinum
6YG3L,M4H1S,other
FIKH9,FUIPK,platinum
YFV78,1W7LL,gold
01JMW,TABM6,other
4.90E+20,I4PMP,gold
ZZP1R,CR21Q,other
B9VWS,A3NKK,silver
SFND3,C6AJ6,platinum
CG1HQ,RO6ZX,silver
UU8XA,AA41I,silver
OLIA7,VFW82,other
FBJFA,61DR7,other
7Z369,3X4LN,gold
IEONY,H6Q9V,silver
6NJYZ,276G6,other
NUT22,59VPP,silver
M5XNK,3ENBZ,silver
BB5G5,RTZXP,platinum
GX02E,YS7K0,other
F7LWM,ZHNQD,gold
THJKW,06DXB,other
IVDK1,GMBNE,silver
TJE98,RXHU7,silver
4QH2W,YCDVQ,other
B8014,URWH5,platinum
XGBLH,UF2VN,platinum
MMCCY,YL8IR,other
0K69A,NN99C,gold
3MC9B,P11QZ,platinum
ECPVJ,H1MJD,silver
QSJMP,C96NR,platinum
7ND4W,X724U,other
QUF08,8SXW9,platinum
3FE4X,NA7OM,silver
64LZ3,76KQY,platinum
OSHW9,J4142,platinum
ZVPT7,UVJB2,platinum
A6VKI,BIH0E,gold
WCSA1,SXPWS,silver
DA9UD,DJOFF,gold
G9IM4,ZIWAI,platinum
0B836,F42D4,gold
0RVM6,YHBN5,platinum
Q9277,5RP36,silver
L8G9H,Q6S50,other
140UB,YQOHG,silver
SXZV3,JU8DL,platinum
XJVH2,8JQOY,silver
SG8ES,JXY8R,other
B15LD,W5F96,silver
1O5YC,BJ697,platinum
N3CC8,07OKK,other
RQHHB,UDH4E,silver
Z93AR,DKKMI,platinum
KD4EO,WV94C,other
X2ZGX,YLA7I,gold
XM7Y5,7UPJJ,other
PJ1DZ,DZ31Q,silver
8LNXG,WZFBO,silver
TCM0D,N4SUN,other
35TNT,MPIAB,gold
NN4T7,H5Y1H,platinum
C5JDN,CU9YS,other
U57VS,1Z6JT,silver
JQAKR,3RM9X,silver
JVY7T,VKWSS,other
RQSJF,OXOEB,gold
UWS65,10VC6,platinum
QBLBV,A043H,other
3THZK,G57JV,silver
9EU4G,CV467,gold
WL65C,5PYO4,silver
GLAAA,TFO7G,silver
XB62S,PYGFN,other
B5A69,CL8KI,other
JLNQ7,XK15G,platinum
FXR6U,I0BII,silver
TLQ8I,HWA18,silver
L4HJ6,QNSC4,platinum
G7ZYX,KK8F4,other
I080C,ZX8TZ,platinum
XSV3B,CX7X2,gold
07MV1,80Q0Q,silver
UZAZ9,PHGIR,silver
0ULED,UDVEB,gold
V9VZK,S7EBB,silver
VU0SH,T3EAG,silver
NNU66,XUOQN,silver
5MBH6,Q7LRF,silver
Z0WD7,40MFQ,platinum
SIJCZ,5JTDK,other
A7UD9,FCTJ0,platinum
SN7GB,ENFF8,other
XOJSA,L0MPT,silver
HGD9M,O0B6O,platinum
K5E0O,TREMP,other
RO6NT,NTDCM,platinum
5T6GT,KEIVV,platinum
6RLD3,PROFG,silver
AH464,YC3WI,gold
LYXAZ,97MPY,gold
BCLEC,RCISL,other
RDIDK,9L6Y7,gold
0RYRD,OCRZE,gold
806KP,EC912,silver
X6WBZ,C18NM,other
I39XM,IV5AL,silver
1V596,PT21L,silver
E9NKU,P92DM,silver
2RA34,R4AQ6,gold
5IYR3,31CW1,gold
UDN3P,H7D5V,silver
YC4UE,9EGOQ,gold
0CRNR,T1TKT,other
RPJ47,1QGU1,platinum
HQANN,7HOK9,platinum
JIC4R,S2GYU,silver
0MMHH,YCIGI,silver
KYKD8,0BY8G,platinum
96QPT,KRW2B,other
RDLA4,610KF,gold
9YKOB,0L5MO,other
2LVAD,Y77KF,other
Y96IV,PP7IF,platinum
GWGV5,17T1F,platinum
ZZYOG,XQP6J,silver
B9EOV,V750Q,platinum
T76UG,KZYKC,other
IZKG1,L1NKD,platinum
EV1SU,MWHPD,silver
83AAW,PA4QZ,gold
CIKTN,PWB53,silver
UP3GH,ESPUE,platinum
LRYBE,H0W12,gold
D2CBG,C4WZ9,silver
WNEZ1,4B49P,silver
ZPBFQ,RUN1R,gold
WXJQI,QXUFV,other
31QC2,9UYJN,silver
31G9C,BMX1A,gold
9WS9Y,LFTY5,other
P34EP,QUTVA,other
1WSUI,BVXSW,platinum
UKBQA,NGNDE,other
61WDS,EIBS0,silver
7HJ4C,23ANT,platinum
9BOXV,6D2JW,other
RXKDW,FSBWT,silver
JJOPJ,Q1MSF,gold
SPT5E,3FYUV,gold
80ERD,6G928,silver
I0DM8,5WXE4,other
G7QA4,DNJA4,silver
N7040,UT4ZU,platinum
GH6RV,RIQN6,other
603JC,OIZSU,platinum
U9IC4,6XGS3,gold
O64YK,RS0AU,other
FC220,DEJ7Z,silver
JJYG9,17PIH,platinum
AB8I5,XEHU2,silver
B74KL,C6XFV,other
G7T10,HDRV1,silver
NQ5BK,LTJXN,platinum
65R5M,7P2UK,platinum
SBZPI,S0B27,platinum
ZBYUG,AXVVV,silver
007V5,B84I1,silver
P81NK,R6JKG,other
YMRUI,DG8KZ,platinum
G6E7W,57VM3,platinum
N950Q,9AND1,gold
OQO8E,91EHE,other
QGM7W,3GPKJ,gold
LD1O4,VRECO,gold
CGOGN,MYKNI,silver
I4CEI,RYEJM,platinum
K53I4,42JI4,silver
ELO1D,AEJ3P,silver
JNOQP,RJN1V,other
KIQLX,SLGWH,platinum
3TTU6,FT2JA,other
UHKLP,WVX20,gold
OWL8F,PUU71,silver
VVCLE,QIL4P,other
QVFKC,EX595,other
4LOD5,WIUJ4,platinum
JFATM,IX6P3,silver
VXYUR,OT7KI,silver
1UYCK,P7DXM,gold
TLPQE,R636K,gold
EMJSU,S0RP1,silver
TPDQ9,XFNKK,gold
ERGO7,E0SO8,silver
FLV5V,SPDE8,silver
Z2G06,6MEEZ,other
WBQEJ,64U58,other
RPC3R,G82UL,platinum
6U62L,DARQ1,other
HR1L3,0RIK3,other
